Surface,Cut,Metal,Notes,Structure,Source,Site,NN,Source,Metal Mass,O cos(a),O sin(a),Josh DFT,Stephen DFT Experimental Lattice Constant,Norskov,v(M-O),v(M-O) Temp (K),v(M-O) Source,v(M-OH2),v(M-OH2) Temp (K),v(M-OH2) Source,v(M-OH),v(M-OH) Temp (K),v(M-OH) Source,OH bend - bent,OH bend - bent Temp (K),OH bend - bent Source,OH bend - straight,OH bend - straight Temp (K),OH bend - straight Source,v(OH) bent,v(OH) bent Temp (K),v(OH) bent Source,v(OH) straight,v(OH) straight Temp (K),v(OH) straight Source,v(M-O2),v(M-O2) Temp (K),v(M-O2) Source,v(O-O) atop/peroxo,v(O-O) atop/peroxo Temp (K), v(O-O) atop/peroxo Source,v(O-O) bridged,v(O-O) bridged Temp (K),v(O-O) bridged Source,v(O-O) superoxo,v(O-O) superoxo Temp (K),v(O-O) superoxo Source,v(M-N),v(M-N) Temp (K),v(M-N) Source,v(M-NH),v(M-NH) Temp (K),v(M-NH) Source,v(M-NH2),v(M-NH2) Temp (K),v(M-NH2) Source,v(M-NH3),v(M-NH3) Temp (K),v(M-NH3) Source,Dband Hammer 2000,v(M-H),parallel (M-H),v(M-H) 2,para (M-H) 2,v(M-H) Temp,Other,v(M-H) Source,N cos(a),N sin(a),H cos(a),H sin(a),ONN2/NN,ONN2cos,ONN2sin,HNN2/NN,HNN2cos,HNN2sin,Eads (M-O) v5.4,v(M-O) vasp v5.4,v(M-O) Morse v5.4,v(M-O) Correected v5.4,Eads (M-OH) v5.4,v(M-OH) vasp v5.4,v(M-OH) Morse v5.4,v(M-OH) Correected v5.4,(1/rO)^2,(1/rOH)^2,Eads O2
Pd(111),111.00,Pd,,FCC,87,H,3,88,106.42,0.56,0.83,-4.49,-5.22,-3.51,485,30,10,,,,,,,855,,28,,,,,,,,,,,,,850,30,10,650,30,10,1035,30,10,,,,,,,,,,,,,-1.83,1000,774,1000,774,,,103,0.518377677,0.85515179,0.46,0.89,1.90,0.91,0.42,1.94,0.89,0.45,-4.57427,435,432.3264322,465.1507322,-2.752603679,,,,,,
Pt(100),100.00,Pt,,FCC,85,H,4,88,195.08,,,,,-3.43,,,,460,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,300,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pt(111),111.00,Pt,difficult to disccern v(M-OH) and v(M-OH2) for low frequencies: 538 M-NH from DFT,FCC,85,H,3,88,195.08,0.56,0.83,-4.14,-4.84,-3.46,460,105,19,530,85,20,,,,820,160,21,1020,160,21,3470,160,21,3580,105,21,380,105,19,870,105,19,690,105,19,,,,450,,70,538,0,84,488,300,75,350,,74,-2.25,903,,903,,85,540,100,0.523708675,0.851897425,0.48,0.88,1.87,0.91,0.42,1.94,0.90,0.44,-4.18766,438.293665,439.6030628,457.2826731,-2.220443679,332.651952,345.7,344.3592852,0.238033711,0.204215558,-0.6942116
Rh(100),100.00,Rh,,FCC,87,H,4,88,102.91,,,,-5.87,-4.66,,,,,,,,,,,,,,,,,,,,,,395,300,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rh(111),111.00,Rh,,FCC,87,H,3,88,102.91,0.63,0.78,-5.10,,-4.60,530,,8,,,,,,,,,,1050,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.73,,,,,,,,0.578056512,0.815996734,0.53,0.84,1.92,0.92,0.40,1.91,0.90,0.43,-5.17069,489.691656,493.052668,522.8796574,-3.144173679,386.383505,388.972,398.0199428,0.249397616,0.212463678,-1.6212216
Ru(0001),1.00,Ru,v(M-NH2) and v(M-N) switched in each paper,HCP,30,H,3,89,101.07,0.66,0.75,-5.64,-6.72,,556,1200,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516,460,79,694,460,79,572,420,67,339,,67,-1.41,1137,823,1137,823,90,685,104,0.546843381,0.837234923,0.56,0.83,1.88,0.91,0.41,1.85,0.90,0.44,,,,,,,,,,,
V(110),110.00,V,455 not listed as M-O2 bond in paper,BCC,85,H,4,92,50.94,0.57,0.82,,-8.72,,615,400,7,,,,,,,,,,,,,,,,,,,455,400,7,1025,400,7,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,0.518365636,0.855159089,0.55,0.83,1.67,0.98,0.20,1.65,0.98,0.20,,,,,,,,,,,
W(100),100.00,W,,BCC,86,B,2,92,183.84,0.70,0.71,-8.28,,,604,300,48,,,,,,,,,,,,,,,,,,,403,300,48,1008,300,48,742,300,48,,,,524,105,65,,,,,,,,,,,1250,1008,1250,1008,300,483,107,0.275862112,0.96119722,0.67,0.74,1.73,0.88,0.48,1.69,0.86,0.50,,,,,,,,,,,
W(112),112.00,W,486 not listed as M-O2 bond in paper,BCC,86,,,,183.84,,,,,,693,100,12,,,,,,,,,,,,,,,,,,,486,100,12,1008,100,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W(211),211.00,W,,BCC,86,,,,183.84,,,,,,660,,8,,,,,,,,,,,,,,,,,,,450,,8,1010,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
