Surface,Substrate,Adsorbate,Substrate Mass,NN,mindistance,NN2,Adsorbate mass,cos(alpha),sin(alpha),Mr,Zfrequency,frequency_corrected,Energy,Surface_Energy,Eads
110,Ir,H,192.22,2,1.923312075,2,1.00794,0.374255687,0.927325553,0.998357273,786.401755,790.1668782,-503.43591,-499.827,-2.4024019
110,Mo,H,95.94,3,1.930538742,1,1.00794,0.589191997,0.807993063,0.998194174,1173.458986,1179.17358,-663.99877,-659.8486,-2.9436619
110,Ni,H,58.6934,2,1.705162859,2,1.00794,0.410950397,0.911657705,0.975999088,785.281807,798.0280752,-305.10899,-301.45531,-2.4471719
110,Pd,H,106.42,2,1.75937455,2,1.00794,0.258097103,0.966118981,0.977835746,597.517025,606.6450661,-300.62344,-296.80451,-2.6124219
110,Pt,H,195.08,2,1.802784981,2,1.00794,0.390327882,0.920675917,0.99610604,960.740192,966.430245,-357.04222,-353.2625,-2.5732119
110,Rh,H,102.9055,2,1.883661601,2,1.00794,0.155847818,0.987781078,0.992821404,609.718829,614.343661,-410.87464,-407.15308,-2.5150519
110,V,H,50.9415,3,1.891056156,1,1.00794,0.561206499,0.827675821,0.988208384,1053.144272,1063.606403,-551.07639,-546.58636,-3.2835219
110,W,H,183.85,3,1.915667677,1,1.00794,0.581204744,0.813757363,1.002687737,1251.274622,1254.547545,-793.51128,-789.2681,-3.0366719
111,Ag,H,107.868,3,1.933001147,3,1.00794,0.469142238,0.883122619,0.994666909,799.384704,804.700626,-172.03607,-168.80985,-2.0197119
111,Al,H,26.98154,3,1.918205936,3,1.00794,0.451469259,0.892286674,0.954636794,800.160904,822.1964239,-228.26803,-225.00988,-2.0516419
111,Au,H,196.9665,3,1.892750596,3,1.00794,0.375702297,0.926740408,0.996962055,769.283765,773.5076139,-214.62828,-211.42435,-1.9974219
111,Cu,H,63.546,3,1.742941938,3,1.00794,0.539084493,0.84225169,0.990793263,1027.833301,1036.689028,-232.10726,-228.4102,-2.4905519
111,Ir,H,192.22,3,1.896263636,3,1.00794,0.529230244,0.848478254,1.002060828,1141.232143,1144.575098,-546.46261,-542.65627,-2.5998319
111,Ni,H,58.6934,3,1.710667323,3,1.00794,0.537219366,0.843442561,0.989352068,1116.570348,1127.010592,-328.53262,-324.5079,-2.8182119
111,Pd,H,106.42,3,1.805744968,3,1.00794,0.426023221,0.904712228,0.99202825,948.994305,956.5747799,-323.19448,-319.10613,-2.8818419
111,Pt,H,195.08,3,1.859350069,3,1.00794,0.45576043,0.890102483,1.000230747,1045.132695,1049.152631,-387.09305,-383.1712,-2.7153419
111,Rh,H,102.9055,3,1.85194841,3,1.00794,0.519149944,0.854683178,0.996584465,1090.019174,1096.21167,-442.71802,-438.77157,-2.7399419
100,Ag,NHH,107.868,4,2.60391911,1,16.02258,0.584437039,0.81143906,14.56526574,229.759816,240.9800514,-180.15653,-165.15468,-1.460434
100,Al,NHH,26.98154,2,2.07905377,2,16.02258,0.750430684,0.660949158,10.62676696,359.096638,440.9374487,-236.60374,-221.15238,-1.909944
100,Au,NHH,196.9665,2,2.383857776,2,16.02258,0.776376627,0.630269255,15.05038297,261.432791,269.744444,-220.49138,-206.45846,-0.491504
100,Cr,NHH,51.996,4,2.270152152,1,16.02258,0.607494907,0.794323573,13.58339919,0,0,-561.36329,-546.50606,-1.315814
100,Cu,NHH,63.546,4,2.270610417,1,16.02258,0.605940921,0.795509648,13.82181375,302.823258,326.0415384,-238.84238,-223.2886,-2.012364
100,Ir,NHH,192.22,2,2.183624867,2,16.02258,0.768649841,0.639669776,15.01423916,350.89072,362.4819973,-541.37803,-526.30636,-1.530254
