Surface,Substrate,Adsorbate,Substrate Mass,NN,mindistance,NN2,NN2min,Adsorbate mass,cos(alpha),sin(alpha),NN2cosa,NN2sina,Mr,Zfrequency,frequency_corrected,Energy,Surface_Energy,Eads,vibGibbs,vibEntropy,vibEnthalpy,Gvibxyz,GvibxyzCF,Xfreqeuncy,Yfrequency,HorC
111,Al,CHHH,26.98154,1,2.030239574,1,5.087149182,15.03482,0.99927115,0.03817289,0.954253683,0.298998174,9.66248737,441.4341,550.6435107,-245.05389,-225.00801,-1.815573,0.836516325,0.00054567,0.99912584,-0.012025248,0.241439455,97.062209,106.021133,1687.180757
111,Au,CHHH,196.9665,1,2.126136789,1,5.006744851,15.03482,0.999982219,0.005963378,0.943881285,0.330284908,13.97365846,447.408653,464.0859641,-231.04999,-211.41916,-1.400523,0.841803388,0.000611558,1.024047676,-0.024264949,0.224309018,75.569868,83.659654,1600.611672
111,Cu,CHHH,63.546,1,2.007076536,1,4.46061489,15.03482,0.999988693,0.004755403,0.946655986,0.322245939,12.17522006,420.741362,467.5476896,-248.16416,-228.3984,-1.535453,,,,0.024299987,0.393852759,51.152535,628.192908,2965.752875
111,Ir,CHHH,192.22,1,2.134558945,1,4.693643329,15.03482,0.999993309,0.003658064,0.943986109,0.329985192,13.95198765,483.455085,501.8653448,-562.9844,-542.68454,-2.069553,,,,0.002898078,0.305831916,134.669754,119.123366,2235.003438
111,Ni,CHHH,58.6934,1,1.952652556,1,4.340484098,15.03482,0.999989792,0.004518374,0.945628301,0.325249314,11.98667472,452.720093,507.0251785,-344.62292,-324.48469,-1.907923,,,,-0.077834116,0.451434319,19.414526,40.206048,3406.282553
111,Pd,CHHH,106.42,1,2.052270843,1,4.727053993,15.03482,0.999435774,0.033587705,0.946926118,0.321451283,13.18152234,468.002686,499.8212048,-339.24914,-319.10114,-1.917693,0.855318306,0.000517364,1.009492812,-0.014584328,0.147310687,87.949818,98.057504,961.6647659
111,Pt,CHHH,195.08,1,2.072076294,1,4.823056224,15.03482,0.999992773,0.003801884,0.944237103,0.329266296,13.96452107,516.619729,536.0521977,-403.62581,-383.16091,-2.234593,,,,-0.002454579,0.319571473,112.607677,105.94907,2325.680934
111,Rh,CHHH,102.9055,1,2.0921759,1,4.649882995,15.03482,0.999996087,0.002797667,0.944111888,0.329625156,13.13038249,459.710523,491.920445,-458.97463,-438.82189,-1.922433,,,,-0.010070004,0.439694566,99.125594,105.946707,3320.635906
100,Ag,CHHH,107.868,4,2.186461072,1,4.937413378,15.03482,0.999989857,0.004503907,0.910296955,0.413955859,14.5293136,375.757125,382.2379401,-184.52568,-165.14913,-1.146243,,,,-0.071578211,0.14854994,52.183366,24.338735,1045.296311
100,Al,CHHH,26.98154,4,2.024271373,1,4.548661831,15.03482,0.999835282,0.018149626,0.901361965,0.433066518,13.19845839,442.143233,471.9005627,-241.16649,-221.15234,-1.783843,,,,-0.01246737,0.178301019,110.239342,91.566837,1225.647881
100,Au,CHHH,196.9665,4,2.105363238,1,4.866723731,15.03482,0.999985875,0.005315147,0.908828791,0.417169304,14.75364678,467.992826,472.4312544,-226.21453,-206.44663,-1.537593,0.812194693,0.000713335,1.024768509,-0.031776769,0.135788966,64.131337,69.41322,887.0799838
100,Cr,CHHH,51.996,4,2.179350303,1,3.761820266,15.03482,0.93594135,0.352155916,0.921273292,0.388915828,13.89794783,,,-571.21357,-546.47936,-6.503903,0,0,0,,,0,0,0
100,Cu,CHHH,63.546,4,1.99017558,1,4.281913092,15.03482,0.999964359,0.008442817,0.911269258,0.411811047,14.19676694,428.160247,440.6164757,-243.08316,-223.28368,-1.569173,,,,-0.099884521,0.164386282,12.456137,28.659919,1133.577272
100,Ir,CHHH,192.22,4,2.116996265,1,4.458755078,15.03482,0.999998443,0.00176493,0.903665802,0.42823839,14.74711647,496.34077,501.1589741,-546.85463,-526.33329,-2.291033,0.827553405,0.000643301,1.019257076,-0.008867531,0.233495875,111.154644,88.942701,1652.129649
