"Surface","Substrate","Adsorbate","Substrate Mass","NN","mindistance","NN2","NN2min","Adsorbate mass","cos(alpha)","sin(alpha)","NN2cosa","NN2sina","Mr","Energy","Surface_Energy","Egas","Eads","Edisp","SurfaceDisp","EminusDisp","Gvib100C","ZPE","vibEntropy","vibEnthalpy"
"111","Cu","OH","63.545999999999999","1","1.9053664038040472","1","4.1296453097741814","17.007339999999999","0.95169612858500718","0.30704149367196187","0.95224454205086861","0.30533642451291571","13.15648504042319","-238.45022","-228.36973","-7.7312472","-2.3492427999999972","-33.867","-33.5955","-2.077742800000008","","","",""
"111","Ir","OH","192.22","1","1.99869612433432","1","4.5120596736446874","17.007339999999999","0.9994692546867231","0.032576201988052403","0.94256406034539453","0.33402543637454268","15.631950563891722","-552.82537000000002","-542.63914999999997","-7.7312472","-2.4549728000000481","-44.77371","-44.48281","-2.1640728000000546","0.25250939097266467","0.34127954747383143","0.00046747602990497708","0.42694807153170689"
"111","Ni","OH","58.693399999999997","1","1.848334004334752","1","4.0969428396039902","17.007339999999999","0.96412537725849501","0.26544727711198091","0.95658696462255222","0.29144704341305622","12.990771362430072","-334.86505","-324.62639999999999","-7.7312472","-2.5074028000000066","-26.58702","-26.30446","-2.22484280000001","","","",""
"111","Pd","OH","106.42","1","1.9822955336862687","1","4.603733664987546","17.007339999999999","0.99998266876868003","0.0058874580481254428","0.93941394355238617","0.34278483434853746","14.675027299323062","-329.17626999999999","-319.30203999999998","-7.7312472","-2.1429828000000111","-38.60096","-38.31693","-1.858952800000024","","","",""
"111","Pt","OH","195.08000000000001","1","1.9972025196098107","1","4.6694540454032261","17.007339999999999","0.99991171970891912","0.013287316837941194","0.94122166499725013","0.33778954593030885","15.650026720382101","-392.62718000000001","-382.73604","-7.7312472","-2.1598928000000068","-50.11938","-49.81562","-1.8561328000000312","0.21496325356794335","0.3355540667830858","0.00056995488229534118","0.4276419178964499"
"111","Rh","OH","102.9055","1","1.9739917754764928","1","4.453369012484278","17.007339999999999","0.99674777821313487","0.080584530942229685","0.94929193769054909","0.31439595581960444","14.595773245847978","-449.05804000000001","-438.93320999999997","-7.7312472","-2.393582800000031","-37.48101","-37.2488","-2.1613728000000645","","","",""
"100","Ag","OH","107.86799999999999","4","2.4754744267711293","1","3.3938802165275397","17.007339999999999","0.47690844425096607","0.87895297701419917","1.0","0.0","14.764035717992453","-175.74527","-165.26823999999999","-7.7312472","-2.7457828000000131","-35.51763","-35.19298","-2.4211328000000147","0.25394180087326795","0.3313179270260816","0.00043663032896941673","0.4168704081282058"
"100","Al","OH","26.981539999999999","2","1.9086537326669444","2","3.5663685228819961","17.007339999999999","0.63604234302379659","0.77165415691279671","0.92033791437598544","0.3911241789535152","9.7555850598380704","-233.02206000000001","-221.30146999999999","-7.7312472","-3.9893428000000153","-10.88324","-10.67844","-3.7845428000000148","","","",""
"100","Au","OH","196.9665","2","2.1843227173001196","2","3.7623627669522661","17.007339999999999","0.58459813059673249","0.8113230094745284","0.92552805599774468","0.37867904293878674","15.244303403416867","-216.18744000000001","-206.39518000000001","-7.7312472","-2.0610127999999985","-49.21392","-48.87494","-1.7220327999999991","","","",""
"100","Cr","OH","51.996000000000002","4","2.3291304627043097","1","2.9506990465396488","17.007339999999999","0.56488747236914338","0.82516794869917254","1.0","0.0","13.894099793053947","-558.30170999999996","-546.62088000000006","-7.7312472","-3.9495827999999005","-22.25371","-22.03959","-3.7354627999999455","0.23107481640059294","0.3332224906421107","0.00050650289047903148","0.42007636998284353"
"100","Cu","OH","63.545999999999999","4","2.1789620317794975","1","3.0574195442010041","17.007339999999999","0.53186487945671468","0.84682923308096447","1.0","0.0","13.998909513596042","-234.09551999999999","-223.24878000000001","-7.7312472","-3.1154927999999824","-32.17829","-31.89969","-2.836892799999978","0.28109417453001967","0.34531053369029363","0.00038132261420665127","0.42338470802123157"
"100","Ir","OH","192.22","2","2.0724433747261113","2","3.6442006808567498","17.007339999999999","0.70379244533431806","0.71040565446112591","0.92782062480001248","0.37302665882710667","15.682004198110127","-537.02747999999997","-526.44940999999994","-7.7312472","-2.8468228000000249","-42.88636","-42.59412","-2.554582799999997","","","",""
"100","Ni","OH","58.693399999999997","4","2.1261798095952029","1","2.9542218625406367","17.007339999999999","0.53661642044894831","0.84382629569394052","1.0","0.0","13.850814895201841","-328.58810999999997","-317.56061","-7.7312472","-3.2962527999999747","-25.54967","-25.28869","-3.035272799999982","0.28024760376475061","0.3485667904957496","0.00039069498107292366","0.42603543595211207"
"100","Pd","OH","106.42","4","2.3549337526189533","1","3.186136576285012","17.007339999999999","0.50294147046622395","0.86432047140240309","1.0","0.0","14.929468722200877","-323.52683999999999","-313.26058","-7.7312472","-2.5350127999999881","-37.36664","-37.05115","-2.21952279999997","0.24220855072013894","0.33432620255602885","0.00047752171667960733","0.42039577929913441"
"100","Pt","OH","195.08000000000001","2","2.0903922171486471","2","3.6474638049477659","17.007339999999999","0.64568426303828497","0.76360450002910985","0.92811550236693197","0.37229237739467302","15.494172405420407","-383.22631000000001","-373.07008999999999","-7.7312472","-2.4249728000000186","-48.65461","-48.29137","-2.061732800000028","","","",""
"100","Rh","OH","102.9055","4","2.3182461253268909","1","3.1646293503915714","17.007339999999999","0.54565946954100764","0.83800700671308603","1.0","0.0","15.116946477626998","-438.88454999999999","-428.27068000000003","-7.7312472","-2.8826227999999627","-35.86496","-35.57768","-2.595342799999967","","","",""
"100","V","OH","50.941499999999998","4","2.2314778941596396","1","2.9343754101381001","17.007339999999999","0.54534125183391413","0.8382141248202748","1.0","0.0","13.626419760439497","-539.51180999999997","-526.72218999999996","-7.7312472","-5.0583728000000132","-28.59104","-28.44659","-4.913922799999993","0.31649533729850532","0.3641707750505745","0.00030597043435945837","0.43066820487973723"
"100","W","OH","183.84999999999999","2","2.1055632605606163","2","3.4648317732934522","17.007339999999999","0.72182745867281228","0.69207305965913002","0.88622875144261892","0.46324788193412919","15.706780352043536","-761.14313000000004","-748.08465999999999","-7.7312472","-5.3272228000000563","-30.35374","-30.19729","-5.170772800000039","","","",""
"110","Ag","OH","107.86799999999999","2","2.2953079602500126","2","3.0996522457568743","17.007339999999999","0.48591999677401276","0.87400329332053628","0.87471299593633078","0.48464128460139305","13.817381399742269","-164.06366","-153.84818999999999","-7.7312472","-2.4842228000000102","-30.19267","-29.89165","-2.183202800000016","","","",""
"110","Al","OH","26.981539999999999","2","1.946327191458803","2","3.317188057026025","17.007339999999999","0.60986560805613543","0.79250485178976693","0.898591335962451","0.43878652091104342","9.5492754984571597","-225.59173000000001","-214.1301","-7.7312472","-3.7303828000000134","-8.87333","-8.75885","-3.615902800000004","","","",""
"110","Au","OH","196.9665","2","2.2283288550138822","2","3.3057198346199681","17.007339999999999","0.53912883437544001","0.84222330764766862","0.89584415240471149","0.44436837714027766","15.181096201711576","-203.47470999999999","-193.69336000000001","-7.7312472","-2.0501027999999746","-42.12072","-41.77111","-1.700492799999969","","","",""
"110","Cr","OH","51.996000000000002","3","2.015229420156853","1","3.4630510281080604","17.007339999999999","0.67607713244178025","0.7368308564313113","0.98417995876418984","0.17717169290526508","13.800090151142552","-577.82983999999999","-565.21470999999997","-7.7312472","-4.8838828000000216","-26.66659","-26.74753","-4.964822799999981","0.32011595541126014","0.3620247372213107","0.0002905858044623805","0.42854804834639743"
"110","Cu","OH","63.545999999999999","2","2.030334492316709","2","2.8938371658556523","17.007339999999999","0.5673156800416993","0.82350040630155374","0.89353983759641165","0.44898391800617787","12.789105470828444","-220.30936","-209.72418999999999","-7.7312472","-2.8539228000000048","-26.39439","-26.0966","-2.556132799999988","","","",""
"110","Fe","OH","55.847000000000001","3","1.9840032611919747","1","3.3661975516797775","17.007339999999999","0.64458179087280765","0.76453535881292234","0.98862153251421803","0.15042428477223629","13.750406684760117","-501.29052000000001","-471.03402999999997","-7.7312472","-22.525242800000044","-19.22702","-19.23648","-22.534702800000062","0.31210032367926344","0.3580231408992957","0.00030906931515255209","0.42742953862843824"
"110","Ir","OH","192.22","2","2.1939304019923793","2","3.0161304525433961","17.007339999999999","0.57712510943490414","0.81665574635812732","0.8867036599450322","0.46233820893376826","15.428427390294447","-510.50254000000001","-500.00984999999997","-7.7312472","-2.7614428000000384","-35.49276","-35.21355","-2.4822328000000606","","","",""
"110","Mo","OH","95.939999999999998","3","2.1643628142838502","1","3.6730791710393782","17.007339999999999","0.6669524214500786","0.74510030702038821","0.98165275336696789","0.19067740245516995","15.062740120165081","-671.49032","-659.62658999999996","-7.7312472","-4.132482800000032","-33.55756","-33.31946","-3.8943828000000646","0.3124331225845195","0.3574646291920221","0.00030441717289878825","0.42602639065170234"
"110","Ni","OH","58.693399999999997","2","1.9846683885504268","2","2.8790638536575814","17.007339999999999","0.59646115436406344","0.8026419446644244","0.89956950364029054","0.4367776415069356","12.745455080289711","-312.36775","-301.59634","-7.7312472","-3.0401628000000027","-21.28538","-21.04461","-2.7993928000000263","","","",""
"110","Pd","OH","106.42","2","2.1443950677977761","2","2.9893273911404052","17.007339999999999","0.52070590787795779","0.85373611701801144","0.88047545808907524","0.47409172920736875","13.934659521433771","-307.19934999999998","-296.98597000000001","-7.7312472","-2.4821327999999721","-31.05522","-30.74142","-2.1683327999999538","","","",""
"110","Pt","OH","195.08000000000001","2","2.1514431703945456","2","3.0551112476459283","17.007339999999999","0.54308674573680982","0.83967659643758186","0.88414155943595452","0.4672191165589849","15.251572035466038","-363.40568999999999","-353.24986000000001","-7.7312472","-2.4245827999999801","-40.34653","-39.98673","-2.0647828000000086","","","",""
"110","Rh","OH","102.9055","2","2.1586075202026849","2","2.9621412477344866","17.007339999999999","0.56444383541001808","0.82547147538096588","0.88747722233608684","0.46085158113499392","14.205050699317646","-417.76373000000001","-407.34068000000002","-7.7312472","-2.6918027999999889","-29.65619","-29.38121","-2.4168228000000074","","","",""
"110","V","OH","50.941499999999998","3","2.0441392948003134","1","3.3677785622991263","17.007339999999999","0.63452866128343766","0.7728993323906086","0.99116968308048037","0.13259962044493226","13.43264529726253","-559.35019999999997","-546.61684000000002","-7.7312472","-5.0021127999999475","-34.53531","-34.27922","-4.7460227999999685","0.32134125098731203","0.3664182713127101","0.00029861996561598563","0.43277129115691704"
"110","W","OH","183.84999999999999","3","2.1477422097856151","1","3.6901092423953457","17.007339999999999","0.6767245687569361","0.73623627867739516","0.98071170889619952","0.19545982716122495","15.960092064502289","-801.11310000000003","-789.37418000000002","-7.7312472","-4.007672800000007","-36.57558","-36.30608","-3.738172800000063","0.31585504570482481","0.3602786007899763","0.00029989321007427609","0.42776019704404095"
"111","Ag","OH","107.86799999999999","3","2.3232736720753682","3","4.2100214580156541","17.007339999999999","0.61298612475779513","0.79009367220249327","0.91734022242646263","0.39810415260151194","15.027205976058806","-179.02153999999999","-168.80058","-7.7312472","-2.4897127999999906","-36.70325","-36.43684","-2.22330279999999","0.25375489931385165","0.32568657600071077","0.000426424606235776","0.41287524113073149"
"111","Al","OH","26.981539999999999","3","2.0901438748971524","3","3.8024380443475714","17.007339999999999","0.54505691822137214","0.83839904335526316","0.90373363360547554","0.4280952224566914","10.253641606485084","-236.58121","-225.15767","-7.7312472","-3.6922928000000024","-11.67274","-11.49661","-3.5161627999999983","0.2701322942121836","0.33762635460033213","0.0003920120917794746","0.41641160625969453"
"111","Au","OH","196.9665","3","2.3301317801498485","3","4.0729728784416244","17.007339999999999","0.55128582287985917","0.8343164516486995","0.91126851340279647","0.41181269587114161","15.650581400808383","-221.25337999999999","-211.63874999999999","-7.7312472","-1.883382800000005","-50.86263","-50.56948","-1.5902328000000079","0.26607633559317356","0.3342805201470663","0.00040373617559790007","0.41673048951752995"
